job_id,title,role_name,company,city,work_mode,experience_level,min_experience,max_experience,industry,salary_lpa,posted_date,skills,description
JG-019,Data Analyst - Reporting,Data Analyst,TrueNorth Commerce,Gurugram,On-site,Entry,0,2,FinTech,5.0,2026-02-24,Dashboarding|Python|Excel|Data Cleaning|Power BI|SQL,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Dashboarding, Python, Excel, Data Cleaning and strong reporting discipline."
JG-020,MIS Analyst,Reporting Analyst,Acumen Retail,Mumbai,Hybrid,Entry,0,2,Consulting,3.8,2026-02-02,Power BI|Python|Stakeholder Management|SQL|Dashboarding|Data Cleaning|Excel,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Python, Stakeholder Management, SQL and strong reporting discipline."
JG-021,Business Intelligence Analyst,BI Analyst,PrimeBasket,Gurugram,On-site,Senior,5,8,Healthcare,10.7,2026-02-19,Communication|Data Modeling|Python|SQL|Power Query|Stakeholder Management|Power BI|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Communication, Data Modeling, Python, SQL and strong reporting discipline."
JG-022,Junior Data Analyst,Data Analyst,MetricHive,Noida,Hybrid,Entry,0,2,FinTech,5.1,2026-01-08,Data Cleaning|Power BI|Excel|ETL|SQL|Statistics,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Data Cleaning, Power BI, Excel, ETL and strong reporting discipline."
JG-023,Data Analyst,Data Analyst,PrimeBasket,Pune,Remote,Mid,2,5,E-commerce,6.1,2026-02-05,SQL|Communication|Statistics|Excel|Python|Power BI,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes SQL, Communication, Statistics, Excel and strong reporting discipline."
JG-024,Business Intelligence Analyst,BI Analyst,LedgerLoop,Gurugram,On-site,Mid,2,5,EdTech,8.1,2026-02-16,SQL|DAX|Python|Excel|Power BI|Data Modeling|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes SQL, DAX, Python, Excel and strong reporting discipline."
JG-025,Business Intelligence Analyst,BI Analyst,LedgerLoop,Noida,On-site,Entry,0,2,Healthcare,5.4,2026-02-22,Dashboarding|Power Query|Data Modeling|Excel|Power BI|SQL,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Dashboarding, Power Query, Data Modeling, Excel and strong reporting discipline."
JG-026,Junior Data Analyst,Data Analyst,TrueNorth Commerce,Bengaluru,On-site,Intern,0,0,Retail,3.1,2026-01-20,Statistics|Python|ETL|Power BI|Data Cleaning|Stakeholder Management|Excel|SQL,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Statistics, Python, ETL, Power BI and strong reporting discipline."
JG-027,MIS Analyst,Reporting Analyst,BrightLane Logistics,Bengaluru,Hybrid,Entry,0,2,Consulting,4.8,2026-01-28,Stakeholder Management|Power BI|Power Query|Data Cleaning|SQL|Excel,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Stakeholder Management, Power BI, Power Query, Data Cleaning and strong reporting discipline."
JG-028,Business Intelligence Analyst,BI Analyst,BlueOrbit Analytics,New Delhi,Hybrid,Mid,2,5,Retail,9.1,2026-02-22,Python|Excel|SQL|Dashboarding|Tableau|Power BI|Power Query|Data Modeling,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Python, Excel, SQL, Dashboarding and strong reporting discipline."
JG-029,BI Reporting Analyst,BI Analyst,ScalePoint,Bengaluru,Hybrid,Senior,5,8,FinTech,10.1,2026-02-19,Power Query|Power BI|SQL|Dashboarding|Python|Documentation,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Power Query, Power BI, SQL, Dashboarding and strong reporting discipline."
JG-030,Business Intelligence Analyst,BI Analyst,HelioMetrics,Pune,On-site,Mid,2,5,SaaS,7.2,2026-01-12,Power BI|Excel|SQL|Python|Dashboarding|ETL,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Excel, SQL, Python and strong reporting discipline."
JG-031,Data Analyst - Reporting,Data Analyst,SignalCraft,Gurugram,On-site,Senior,5,8,EdTech,9.1,2026-03-03,Power BI|Excel|SQL|Dashboarding|Stakeholder Management|Python,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Excel, SQL, Dashboarding and strong reporting discipline."
JG-032,Business Intelligence Analyst,BI Analyst,ScalePoint,Hyderabad,Remote,Entry,0,2,SaaS,5.5,2026-01-18,Excel|SQL|Power BI|Data Cleaning|Stakeholder Management|DAX,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Excel, SQL, Power BI, Data Cleaning and strong reporting discipline."
JG-033,Junior Data Analyst,Data Analyst,MetricHive,Bengaluru,Remote,Senior,5,8,Healthcare,9.7,2026-01-15,SQL|Power BI|Excel|Dashboarding|Communication|A/B Testing,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes SQL, Power BI, Excel, Dashboarding and strong reporting discipline."
JG-034,Junior Data Analyst,Data Analyst,MetricHive,New Delhi,Remote,Mid,2,5,Retail,6.4,2026-03-11,Python|Tableau|Communication|Excel|Dashboarding|Statistics|SQL,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Python, Tableau, Communication, Excel and strong reporting discipline."
JG-035,Power BI Developer,Power BI Analyst,Verity Health,Noida,Remote,Entry,0,2,E-commerce,5.5,2026-03-14,Power BI|SQL|Power Query|Data Modeling|ETL|DAX|Excel,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Power BI, SQL, Power Query, Data Modeling and strong reporting discipline."
JG-036,Operations Reporting Analyst,Reporting Analyst,NexaPulse,Noida,Hybrid,Mid,2,5,E-commerce,6.4,2026-01-19,Power Query|SQL|Dashboarding|Stakeholder Management|Excel|Communication,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Power Query, SQL, Dashboarding, Stakeholder Management and strong reporting discipline."
JG-037,Reporting Analyst,Reporting Analyst,TrueNorth Commerce,New Delhi,On-site,Entry,0,2,Retail,5.1,2026-01-13,SQL|Power BI|Communication|Data Cleaning|Dashboarding|Excel,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes SQL, Power BI, Communication, Data Cleaning and strong reporting discipline."
JG-038,MIS Analyst,Reporting Analyst,MetricHive,Hyderabad,On-site,Entry,0,2,Healthcare,3.8,2026-01-24,SQL|Communication|Excel|Dashboarding|Power BI|Documentation,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes SQL, Communication, Excel, Dashboarding and strong reporting discipline."
JG-039,Data Analyst,Data Analyst,HelioMetrics,Hyderabad,On-site,Senior,5,8,FinTech,7.5,2026-01-24,Communication|Excel|SQL|Power BI|Python|Documentation,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Communication, Excel, SQL, Power BI and strong reporting discipline."
JG-040,Data Analyst,Data Analyst,UrbanCart,Bengaluru,On-site,Entry,0,2,E-commerce,5.3,2026-03-15,Power BI|Data Cleaning|Stakeholder Management|Excel|Dashboarding|SQL,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Data Cleaning, Stakeholder Management, Excel and strong reporting discipline."
JG-041,Junior Data Analyst,Data Analyst,MetricHive,Gurugram,On-site,Entry,0,2,SaaS,5.0,2026-03-15,Power BI|Statistics|Excel|Data Cleaning|Python|SQL,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Statistics, Excel, Data Cleaning and strong reporting discipline."
JG-042,Business Analyst,Business Analyst,LedgerLoop,New Delhi,On-site,Entry,0,2,FinTech,5.5,2026-01-08,SQL|Communication|Python|Data Cleaning|Excel|Stakeholder Management,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes SQL, Communication, Python, Data Cleaning and strong reporting discipline."
JG-043,Reporting Analyst,Reporting Analyst,FlowGrid,Gurugram,Hybrid,Entry,0,2,Healthcare,5.2,2026-03-15,SQL|Excel|Stakeholder Management|Power Query|Power BI|Communication,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes SQL, Excel, Stakeholder Management, Power Query and strong reporting discipline."
JG-044,Power BI Analyst,Power BI Analyst,DataNook Consulting,Noida,On-site,Entry,0,2,Consulting,5.5,2026-01-11,Power BI|Stakeholder Management|Excel|Python|DAX|SQL,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Stakeholder Management, Excel, Python and strong reporting discipline."
JG-045,Reporting Analyst,Reporting Analyst,BlueOrbit Analytics,Bengaluru,On-site,Mid,2,5,Logistics,6.2,2026-01-15,Tableau|Dashboarding|SQL|Power BI|Data Cleaning|Excel|Python,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Tableau, Dashboarding, SQL, Power BI and strong reporting discipline."
JG-046,BI Reporting Analyst,BI Analyst,FlowGrid,Gurugram,On-site,Entry,0,2,FinTech,5.9,2026-01-15,Power Query|ETL|Power BI|SQL|Stakeholder Management|Communication|DAX|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Power Query, ETL, Power BI, SQL and strong reporting discipline."
JG-047,BI Reporting Analyst,BI Analyst,PrimeBasket,New Delhi,Hybrid,Mid,2,5,Healthcare,8.8,2026-02-14,Stakeholder Management|Power BI|SQL|ETL|Excel|Dashboarding,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Stakeholder Management, Power BI, SQL, ETL and strong reporting discipline."
JG-048,Data Analyst - Reporting,Data Analyst,TrueNorth Commerce,Bengaluru,Remote,Entry,0,2,Consulting,5.3,2026-02-21,Documentation|Excel|Power BI|Dashboarding|Python|SQL,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Documentation, Excel, Power BI, Dashboarding and strong reporting discipline."
JG-049,Power BI Analyst,Power BI Analyst,DataNook Consulting,Noida,On-site,Entry,0,2,FinTech,5.6,2026-02-15,DAX|Dashboarding|Power BI|SQL|Excel|Data Modeling|Power Query,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes DAX, Dashboarding, Power BI, SQL and strong reporting discipline."
JG-050,Business Analyst,Business Analyst,InsightForge,Noida,Hybrid,Entry,0,2,FinTech,5.9,2026-01-26,A/B Testing|Documentation|Excel|Stakeholder Management|SQL|Power BI,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes A/B Testing, Documentation, Excel, Stakeholder Management and strong reporting discipline."
JG-051,Power BI Analyst,Power BI Analyst,DataNook Consulting,Hyderabad,On-site,Mid,2,5,SaaS,8.1,2026-02-12,Power Query|SQL|DAX|Power BI|Data Modeling|Dashboarding,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Power Query, SQL, DAX, Power BI and strong reporting discipline."
JG-052,Data Analyst,Data Analyst,SignalCraft,Gurugram,On-site,Mid,2,5,Consulting,6.0,2026-03-06,SQL|Data Cleaning|Python|Excel|Tableau|Dashboarding,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes SQL, Data Cleaning, Python, Excel and strong reporting discipline."
JG-053,Business Intelligence Analyst,BI Analyst,SignalCraft,Pune,Hybrid,Mid,2,5,EdTech,8.1,2026-01-14,DAX|SQL|Python|Power BI|Dashboarding|Excel,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes DAX, SQL, Python, Power BI and strong reporting discipline."
JG-054,BI Reporting Analyst,BI Analyst,TrueNorth Commerce,New Delhi,Hybrid,Entry,0,2,FinTech,5.7,2026-01-27,ETL|Communication|SQL|Power BI|Data Modeling|Stakeholder Management|Python|Power Query,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes ETL, Communication, SQL, Power BI and strong reporting discipline."
JG-055,Operations Reporting Analyst,Reporting Analyst,Acumen Retail,Pune,Hybrid,Entry,0,2,SaaS,4.6,2026-03-13,SQL|Documentation|Power BI|Communication|Data Cleaning|Excel,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes SQL, Documentation, Power BI, Communication and strong reporting discipline."
JG-056,Data Analyst - Reporting,Data Analyst,BlueOrbit Analytics,New Delhi,On-site,Entry,0,2,Healthcare,4.6,2026-01-15,Dashboarding|Statistics|Tableau|Excel|Power BI|Python,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Dashboarding, Statistics, Tableau, Excel and strong reporting discipline."
JG-057,BI Reporting Analyst,BI Analyst,FlowGrid,Noida,Remote,Mid,2,5,SaaS,8.8,2026-02-28,DAX|Data Modeling|Power Query|ETL|Power BI|SQL|Dashboarding,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes DAX, Data Modeling, Power Query, ETL and strong reporting discipline."
JG-058,Business Intelligence Analyst,BI Analyst,HelioMetrics,New Delhi,On-site,Entry,0,2,Healthcare,5.8,2026-02-08,Python|Excel|Power BI|SQL|ETL|DAX,"Support business teams in New Delhi by turning raw operational data into decision-ready insights. The role emphasizes Python, Excel, Power BI, SQL and strong reporting discipline."
JG-059,Data Analyst - Reporting,Data Analyst,NexaPulse,Mumbai,Hybrid,Entry,0,2,Healthcare,4.9,2026-03-14,Excel|Dashboarding|ETL|SQL|Data Cleaning|Power BI,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Excel, Dashboarding, ETL, SQL and strong reporting discipline."
JG-060,Business Analyst - Analytics,Business Analyst,ScalePoint,Noida,Hybrid,Entry,0,2,FinTech,5.1,2026-02-16,Communication|Stakeholder Management|Python|Documentation|SQL|Excel,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Communication, Stakeholder Management, Python, Documentation and strong reporting discipline."
JG-061,Reporting Analyst - Power BI,Power BI Analyst,BrightLane Logistics,Hyderabad,Hybrid,Mid,2,5,Healthcare,7.8,2026-02-13,Power Query|DAX|Data Modeling|Power BI|SQL|Dashboarding|Communication|Python,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Power Query, DAX, Data Modeling, Power BI and strong reporting discipline."
JG-062,Power BI Analyst,Power BI Analyst,TrueNorth Commerce,Noida,Hybrid,Mid,2,5,Logistics,7.8,2026-02-11,DAX|Dashboarding|Power Query|SQL|ETL|Power BI,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes DAX, Dashboarding, Power Query, SQL and strong reporting discipline."
JG-063,Insights Analyst,Business Analyst,LedgerLoop,Gurugram,Remote,Entry,0,2,Retail,5.9,2026-03-07,Power BI|Excel|Communication|Documentation|Python|SQL|Stakeholder Management,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Excel, Communication, Documentation and strong reporting discipline."
JG-064,MIS Analyst,Reporting Analyst,BrightLane Logistics,Noida,Hybrid,Mid,2,5,E-commerce,6.3,2026-01-21,Data Cleaning|Power BI|Excel|Stakeholder Management|Tableau|Dashboarding,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Data Cleaning, Power BI, Excel, Stakeholder Management and strong reporting discipline."
JG-065,Data Analyst,Data Analyst,NexaPulse,Gurugram,On-site,Entry,0,2,FinTech,5.6,2026-02-14,Python|Power BI|Excel|ETL|SQL|Stakeholder Management,"Support business teams in Gurugram by turning raw operational data into decision-ready insights. The role emphasizes Python, Power BI, Excel, ETL and strong reporting discipline."
JG-066,Data Analyst - Reporting,Data Analyst,FlowGrid,Noida,On-site,Mid,2,5,E-commerce,6.1,2026-02-15,Excel|SQL|ETL|Power BI|Tableau|Statistics|Communication,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Excel, SQL, ETL, Power BI and strong reporting discipline."
JG-067,Data Analyst,Data Analyst,UrbanCart,Noida,Hybrid,Entry,0,2,Healthcare,5.2,2026-01-17,SQL|Excel|Dashboarding|Stakeholder Management|Power BI|Statistics,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes SQL, Excel, Dashboarding, Stakeholder Management and strong reporting discipline."
JG-068,Junior Data Analyst,Data Analyst,BrightLane Logistics,Mumbai,On-site,Entry,0,2,Healthcare,4.3,2026-03-20,Dashboarding|Data Cleaning|Power BI|SQL|Excel|Statistics,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Dashboarding, Data Cleaning, Power BI, SQL and strong reporting discipline."
JG-069,BI Reporting Analyst,BI Analyst,FlowGrid,Noida,Hybrid,Entry,0,2,Logistics,6.0,2026-03-16,Excel|Python|SQL|Power BI|DAX|Power Query,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Excel, Python, SQL, Power BI and strong reporting discipline."
JG-070,Data Analyst - Reporting,Data Analyst,FlowGrid,Hyderabad,Hybrid,Mid,2,5,Retail,6.7,2026-02-11,Tableau|Dashboarding|Excel|Data Cleaning|SQL|Python,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Tableau, Dashboarding, Excel, Data Cleaning and strong reporting discipline."
JG-071,Data Analyst,Data Analyst,MetricHive,Mumbai,Remote,Mid,2,5,Retail,6.0,2026-02-21,SQL|Power BI|Data Cleaning|Excel|ETL|Python|Dashboarding|Communication,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes SQL, Power BI, Data Cleaning, Excel and strong reporting discipline."
JG-072,Data Analyst,Data Analyst,Verity Health,Pune,Hybrid,Mid,2,5,Consulting,7.1,2026-01-29,SQL|Excel|A/B Testing|Dashboarding|Communication|Data Cleaning,"Support business teams in Pune by turning raw operational data into decision-ready insights. The role emphasizes SQL, Excel, A/B Testing, Dashboarding and strong reporting discipline."
JG-073,Data Analyst,Data Analyst,InsightForge,Bengaluru,On-site,Entry,0,2,Retail,4.3,2026-02-19,Power BI|SQL|Dashboarding|Python|Communication|Excel,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Power BI, SQL, Dashboarding, Python and strong reporting discipline."
JG-074,BI Reporting Analyst,BI Analyst,Acumen Retail,Noida,Remote,Entry,0,2,Retail,5.8,2026-02-18,Excel|SQL|Dashboarding|Data Modeling|Stakeholder Management|Power BI|Python|Power Query,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Excel, SQL, Dashboarding, Data Modeling and strong reporting discipline."
JG-075,Business Analyst,Business Analyst,SignalCraft,Noida,Hybrid,Mid,2,5,EdTech,8.0,2026-03-13,Excel|Documentation|Power BI|SQL|Stakeholder Management|A/B Testing,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Excel, Documentation, Power BI, SQL and strong reporting discipline."
JG-076,BI Reporting Analyst,BI Analyst,PrimeBasket,Hyderabad,Hybrid,Entry,0,2,EdTech,5.9,2026-01-24,Data Modeling|Power Query|Power BI|Dashboarding|ETL|DAX|Communication|SQL,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Data Modeling, Power Query, Power BI, Dashboarding and strong reporting discipline."
JG-077,MIS Analyst,Reporting Analyst,HelioMetrics,Hyderabad,On-site,Senior,5,8,Logistics,8.5,2026-02-03,Excel|Dashboarding|Stakeholder Management|Data Cleaning|Python|Documentation,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Excel, Dashboarding, Stakeholder Management, Data Cleaning and strong reporting discipline."
JG-078,Data Analyst,Data Analyst,NexaPulse,Noida,On-site,Senior,5,8,Retail,8.3,2026-01-29,Data Cleaning|A/B Testing|Dashboarding|SQL|Python|ETL,"Support business teams in Noida by turning raw operational data into decision-ready insights. The role emphasizes Data Cleaning, A/B Testing, Dashboarding, SQL and strong reporting discipline."
JG-079,Insights Analyst,Business Analyst,SignalCraft,Bengaluru,On-site,Senior,5,8,Healthcare,9.5,2026-01-30,Dashboarding|Data Cleaning|SQL|Python|Excel|Power BI,"Support business teams in Bengaluru by turning raw operational data into decision-ready insights. The role emphasizes Dashboarding, Data Cleaning, SQL, Python and strong reporting discipline."
JG-080,Reporting Analyst - Power BI,Power BI Analyst,TrueNorth Commerce,Mumbai,Hybrid,Senior,5,8,E-commerce,11.7,2026-02-02,DAX|ETL|Data Modeling|Dashboarding|SQL|Power BI|Communication,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes DAX, ETL, Data Modeling, Dashboarding and strong reporting discipline."
JG-081,BI Reporting Analyst,BI Analyst,MetricHive,Hyderabad,On-site,Entry,0,2,E-commerce,5.3,2026-01-21,Power Query|Power BI|Data Modeling|Dashboarding|Stakeholder Management|SQL|DAX,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Power Query, Power BI, Data Modeling, Dashboarding and strong reporting discipline."
JG-082,Data Analyst - Reporting,Data Analyst,PrimeBasket,Mumbai,On-site,Entry,0,2,SaaS,4.3,2026-02-14,Communication|Data Cleaning|SQL|Excel|Power BI|Dashboarding,"Support business teams in Mumbai by turning raw operational data into decision-ready insights. The role emphasizes Communication, Data Cleaning, SQL, Excel and strong reporting discipline."
JG-083,Business Analyst,Business Analyst,NexaPulse,Hyderabad,Hybrid,Mid,2,5,E-commerce,7.2,2026-03-23,Power BI|Communication|Excel|Stakeholder Management|Documentation|SQL,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Power BI, Communication, Excel, Stakeholder Management and strong reporting discipline."
JG-084,Junior Data Analyst,Data Analyst,Verity Health,Hyderabad,Hybrid,Mid,2,5,E-commerce,6.1,2026-03-10,Communication|Excel|Python|Data Cleaning|SQL|Dashboarding|Power BI,"Support business teams in Hyderabad by turning raw operational data into decision-ready insights. The role emphasizes Communication, Excel, Python, Data Cleaning and strong reporting discipline."
